Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
625;PC000C;BU16800200;;      9467;None
626;M000217;BU16800200;1;;None
627;ST0001;BU16800200;5;;None
628;ST0003;BU16800200;95;;None
629;GM000C;BU16800209;;Aa en Hunze                             ;None
630;R00003;BU16800209;;Buurt     ;None
631;R00004;BU16800209;;BU16800209;None
632;M000125;BU16800209;;1;None
633;T001036;BU16800209;65;;None
634;3000;BU16800209;35;;None
635;4000;BU16800209;30;;None
636;10680;BU16800209;5;;None
637;53050;BU16800209;10;;None
638;53310;BU16800209;5;;None
639;53715;BU16800209;25;;None
640;80200;BU16800209;10;;None
641;1010;BU16800209;25;;None
642;1020;BU16800209;30;;None
643;1080;BU16800209;5;;None
644;1050;BU16800209;0;;None
645;2012655;BU16800209;5;;None
646;2012657_2;BU16800209;0;;None
647;H008673;BU16800209;0;;None
648;H007119;BU16800209;0;;None
649;H008751;BU16800209;0;;None
650;H008766;BU16800209;0;;None
651;A008187;BU16800209;0;;None
652;1050010_2;BU16800209;25;;None
653;1050015;BU16800209;0;;None
654;1016040;BU16800209;10;;None
655;1016030;BU16800209;10;;None
656;M000114;BU16800209;2,6;;None
657;M000100;BU16800209;8;;None
658;M000297;BU16800209;24;;None
659;M001642;BU16800209;456;;None
660;ZW10290;BU16800209;100;;None
661;ZW10340;BU16800209;0;;None
662;A028725;BU16800209;92;;None
663;A028726;BU16800209;8;;None
664;1014800_1;BU16800209;83;;None
665;1014850_2;BU16800209;17;;None
666;A047047;BU16800209;8;;None
667;A047048;BU16800209;8;;None
668;A047051;BU16800209;0;;None
669;ZW25808;BU16800209;33;;None
670;ZW25807;BU16800209;67;;None
671;M000200_2;BU16800209;10;;None
672;A018943_2;BU16800209;45;;None
673;A019276;BU16800209;25;;None
674;D001045;BU16800209;15;;None
675;A018944;BU16800209;5;;None
676;T001455_2;BU16800209;759;;None
677;A047044;BU16800209;757;;None
678;A047040;BU16800209;1;;None
679;PC000C;BU16800209;;      9467;None
680;M000217;BU16800209;1;;None
681;ST0001;BU16800209;5;;None
682;ST0003;BU16800209;129;;None
683;GM000C;WK168003;;Aa en Hunze                             ;None
684;R00003;WK168003;;Wijk      ;None
685;R00004;WK168003;;WK168003  ;None
686;M000125;WK168003;;1;None
687;T001036;WK168003;395;;None
688;3000;WK168003;200;;None
689;4000;WK168003;195;;None
690;10680;WK168003;25;;None
691;53050;WK168003;35;;None
692;53310;WK168003;55;;None
693;53715;WK168003;155;;None
694;80200;WK168003;120;;None
695;1010;WK168003;130;;None
696;1020;WK168003;205;;None
697;1080;WK168003;45;;None
698;1050;WK168003;15;;None
699;2012655;WK168003;40;;None
700;2012657_2;WK168003;0;;None
701;H008673;WK168003;0;;None
702;H007119;WK168003;0;;None
703;H008751;WK168003;0;;None
704;H008766;WK168003;0;;None
705;A008187;WK168003;0;;None
706;1050010_2;WK168003;175;;None
707;1050015;WK168003;40;;None
708;1016040;WK168003;85;;None
709;1016030;WK168003;50;;None
710;M000114;WK168003;2,2;;None
711;M000100;WK168003;43;;None
712;M000297;WK168003;180;;None
713;M001642;WK168003;404;;None
714;ZW10290;WK168003;97;;None
715;ZW10340;WK168003;3;;None
716;A028725;WK168003;96;;None
717;A028726;WK168003;4;;None
