name,latitude,longitude,postal_code,city,country
,50.8139325,5.6724404,3770,Riemst,België / Belgique / Belgien
,50.8369550,5.7589471,6267 NL,Cadier en Keer,Nederland
,50.8357503,5.7608698,6267 AL,Cadier en Keer,Nederland
,50.9301547,5.6877380,3621,Lanaken,België / Belgique / Belgien
,50.9412088,5.6929994,3630,Maasmechelen,België / Belgique / Belgien
,50.9408643,5.6933464,3630,Maasmechelen,België / Belgique / Belgien
,50.8046872,5.6905232,4600,Visé,België / Belgique / Belgien
,50.8302327,5.6937966,6212 NC,Maastricht,Nederland
,50.8166115,5.6941357,6212 NA,Maastricht,Nederland
,50.8308639,5.6939519,6212 NC,Maastricht,Nederland
,50.8974044,5.6670428,3620,Lanaken,België / Belgique / Belgien
,50.8142517,5.6017821,3770,Riemst,België / Belgique / Belgien
,50.8161219,5.6683790,3770,Riemst,België / Belgique / Belgien
,50.8138704,5.6734038,3770,Riemst,België / Belgique / Belgien
,50.7748790,5.6520016,4690,Ében,België / Belgique / Belgien
,50.7752939,5.6526757,4690,Ében,België / Belgique / Belgien
,50.7945840,5.6669960,4690,Émael,België / Belgique / Belgien
,50.7949193,5.6688953,4690,Émael,België / Belgique / Belgien
,50.7815856,5.6943854,4600,Visé,België / Belgique / Belgien
,50.8067689,5.6717835,4690,Émael,België / Belgique / Belgien
,50.7844214,5.6871558,4600,Visé,België / Belgique / Belgien
,50.8699014,5.7228594,6222 AN,Maastricht,Nederland
,50.8717422,5.7222879,6222 AN,Maastricht,Nederland
,50.8715513,5.7224496,6222 AN,Maastricht,Nederland
,50.7805656,5.6548841,4690,Ében,België / Belgique / Belgien
,50.7705474,5.6307557,4690,Wonck,België / Belgique / Belgien
Parking visiteurs,50.7761715,5.6479922,4690,Ében,België / Belgique / Belgien
,50.8956761,5.7366933,6241 ET,Bunde,Nederland
,50.9071305,5.6791406,3620,Lanaken,België / Belgique / Belgien
,50.9070212,5.6792425,3620,Lanaken,België / Belgique / Belgien
,50.9070818,5.6797145,3620,Lanaken,België / Belgique / Belgien
,50.8393941,5.6520437,6215 VK,Maastricht,Nederland
,50.8387965,5.6516303,6215 BH,Maastricht,Nederland
,50.8394474,5.6499410,6215 BB,Maastricht,Nederland
,50.8399811,5.6505278,6215 VK,Maastricht,Nederland
,50.8874578,5.6508978,3620,Lanaken,België / Belgique / Belgien
,50.8585368,5.7220935,6225 XP,Maastricht,Nederland
Apple Park parking,50.8581997,5.7173407,6225 XS,Maastricht,Nederland
,50.8386548,5.7192655,6227 AK,Maastricht,Nederland
,50.8826592,5.6734523,3620,Lanaken,België / Belgique / Belgien
,50.8829626,5.6705147,3620,Lanaken,België / Belgique / Belgien
,50.8182767,5.7104481,6229 PC,Maastricht,Nederland
’t Gasthoes,50.8856711,5.7530575,6231 JV,Rothem,Nederland
Parkeerplaats Jumbo,50.8746220,5.7379795,6231 AW,Rothem,Nederland
Breusterstraat,50.7775265,5.7092064,6245 EK,Eijsden,Nederland
,50.7653921,5.7254909,6245 KD,Eijsden,Nederland
Hotel Heynen,50.8706550,5.8265862,6301 GD,Valkenburg,Nederland
,50.8405054,5.6777579,6213 AK,Maastricht,Nederland
,50.8690141,5.7109330,6222 NG,Maastricht,Nederland
,50.8831628,5.6380244,3620,Lanaken,België / Belgique / Belgien
Bezoekersparking,50.8823792,5.6385426,3620,Lanaken,België / Belgique / Belgien
,50.9235657,5.7066571,3621,Lanaken,België / Belgique / Belgien
,50.9231269,5.7063564,3621,Lanaken,België / Belgique / Belgien
,50.9152978,5.6669006,3621,Lanaken,België / Belgique / Belgien
,50.9141551,5.6681660,3620,Lanaken,België / Belgique / Belgien
,50.8810991,5.7534742,6231 RX,Rothem,Nederland
,50.9043595,5.7721782,6235 CA,Ulestraten,Nederland
